ParticipantID	HurricaneName	Rating	HurricaneGender	HurricaneAge
21	Marco	5.5	male	young
22	Arthur	3	male	old
22	Bertha	6	female	old
22	Cristobal	2	male	young
22	Dolly	2	female	old
22	Fay	6	female	old
22	Omar	5	male	young
22	Kyle	3	male	young
22	Laura	7	female	old
22	Hanna	4	female	young
22	Marco	5	male	young
23	Arthur	2.5	male	old
23	Bertha	3.5	female	old
23	Cristobal	3	male	young
23	Dolly	4	female	old
23	Fay	2	female	old
23	Omar	4	male	young
23	Kyle	2.5	male	young
23	Laura	4.5	female	old
23	Hanna	6	female	young
23	Marco	3	male	young
24	Arthur	4.5	male	old
24	Bertha	5	female	old
24	Cristobal	2	male	young
24	Dolly	3.5	female	old
24	Fay	5	female	old
24	Omar	4	male	young
24	Kyle	3.5	male	young
24	Laura	4	female	old
24	Hanna	5	female	young
24	Marco	2.5	male	young
25	Arthur	1	male	old
25	Bertha	5	female	old
25	Cristobal	6	male	young
25	Dolly	6	female	old
25	Fay	5	female	old
25	Omar	3	male	young
25	Kyle	3	male	young
25	Laura	4	female	old
25	Hanna	4	female	young
25	Marco	5	male	young
26	Arthur	4.5	male	old
26	Bertha	3.5	female	old
26	Cristobal	1	male	young
26	Dolly	3.5	female	old
26	Fay	5	female	old
26	Omar	3	male	young
26	Kyle	1.5	male	young
26	Laura	3	female	old
26	Hanna	6.5	female	young
26	Marco	4.5	male	young
27	Arthur	4	male	old
27	Bertha	4	female	old
27	Cristobal	5	male	young
27	Dolly	3	female	old
27	Fay	5.5	female	old
27	Omar	2	male	young
27	Kyle	5.5	male	young
27	Laura	6	female	old
27	Hanna	6.5	female	young
27	Marco	5	male	young
28	Arthur	3	male	old
28	Bertha	5	female	old
28	Cristobal	6	male	young
28	Dolly	3	female	old
28	Fay	3	female	old
28	Omar	2	male	young
28	Kyle	1	male	young
28	Laura	4	female	old
28	Hanna	4	female	young
28	Marco	2	male	young
29	Arthur	3	male	old
29	Bertha	5	female	old
29	Cristobal	4	male	young
29	Dolly	6	female	old
29	Fay	5	female	old
29	Omar	4	male	young
29	Kyle	3	male	young
29	Laura	1	female	old
29	Hanna	4	female	young
29	Marco	2	male	young
30	Arthur	2.5	male	old
30	Bertha	4.5	female	old
30	Cristobal	4.5	male	young
30	Dolly	6.5	female	old
30	Fay	3.5	female	old
30	Omar	5	male	young
30	Kyle	2	male	young
30	Laura	4	female	old
30	Hanna	6	female	young
30	Marco	5	male	young
31	Arthur	4.5	male	old
31	Bertha	4.5	female	old
31	Cristobal	4	male	young
31	Dolly	6	female	old
31	Fay	3	female	old
31	Omar	4.5	male	young
31	Kyle	2.5	male	young
31	Laura	5.5	female	old
31	Hanna	3	female	young
31	Marco	1.5	male	young
32	Arthur	5	male	old
32	Bertha	6	female	old
32	Cristobal	5	male	young
32	Dolly	5	female	old
32	Fay	5	female	old
32	Omar	4	male	young
32	Kyle	4	male	young
32	Laura	5	female	old
32	Hanna	4	female	young
32	Marco	3	male	young
33	Arthur	2.5	male	old
33	Bertha	6.5	female	old
33	Cristobal	1.5	male	young
33	Dolly	2	female	old
33	Fay	1.5	female	old
33	Omar	3.5	male	young
33	Kyle	5.5	male	young
33	Laura	4.5	female	old
33	Hanna	5.5	female	young
33	Marco	5	male	young
34	Arthur	2.5	male	old
34	Bertha	7	female	old
34	Cristobal	3.5	male	young
34	Dolly	6	female	old
34	Fay	4	female	old
34	Omar	5.5	male	young
34	Kyle	1.5	male	young
34	Laura	2.5	female	old
34	Hanna	3.5	female	young
34	Marco	6	male	young
35	Arthur	4	male	old
35	Bertha	7	female	old
35	Cristobal	6	male	young
35	Dolly	6	female	old
35	Fay	5	female	old
35	Omar	6	male	young
35	Kyle	4	male	young
35	Laura	7	female	old
35	Hanna	3	female	young
35	Marco	4	male	young
36	Arthur	2.5	male	old
36	Bertha	6	female	old
36	Cristobal	6.5	male	young
36	Dolly	4.5	female	old
36	Fay	5	female	old
36	Omar	4	male	young
36	Kyle	6.5	male	young
36	Laura	5	female	old
36	Hanna	6.5	female	young
36	Marco	2	male	young
37	Arthur	3.5	male	old
37	Bertha	5	female	old
37	Cristobal	6	male	young
37	Dolly	5	female	old
37	Fay	5	female	old
37	Omar	4	male	young
37	Kyle	3	male	young
37	Laura	5	female	old
37	Hanna	6	female	young
37	Marco	5	male	young
38	Arthur	2.5	male	old
38	Bertha	1.5	female	old
38	Cristobal	4	male	young
38	Dolly	4	female	old
38	Fay	5	female	old
38	Omar	6.5	male	young
38	Kyle	2	male	young
38	Laura	6.5	female	old
38	Hanna	6	female	young
38	Marco	4	male	young
39	Arthur	1	male	old
39	Bertha	4	female	old
39	Cristobal	2	male	young
39	Dolly	3	female	old
39	Fay	3.5	female	old
39	Omar	5	male	young
39	Kyle	6	male	young
39	Laura	5.5	female	old
39	Hanna	4	female	young
39	Marco	2.5	male	young
40	Arthur	5	male	old
40	Bertha	4	female	old
40	Cristobal	2	male	young
40	Dolly	6	female	old
40	Fay	6	female	old
40	Omar	7	male	young
40	Kyle	5	male	young
40	Laura	6	female	old
40	Hanna	4	female	young
40	Marco	3	male	young
41	Arthur	5	male	old
41	Bertha	6	female	old
41	Cristobal	5	male	young
41	Dolly	6	female	old
41	Fay	5	female	old
41	Omar	6	male	young
41	Kyle	4	male	young
41	Laura	6	female	old
41	Hanna	6	female	young
41	Marco	5	male	young
42	Arthur	5	male	old
42	Bertha	5.5	female	old
42	Cristobal	5.5	male	young
42	Dolly	6	female	old
42	Fay	5.5	female	old
42	Omar	2.5	male	young
42	Kyle	5	male	young
42	Laura	6	female	old
42	Hanna	5	female	young
42	Marco	5	male	young
43	Arthur	1.5	male	old
43	Bertha	3	female	old
43	Cristobal	2.5	male	young
43	Dolly	6.5	female	old
43	Fay	2.5	female	old
43	Omar	5	male	young
43	Kyle	3	male	young
43	Laura	4	female	old
43	Hanna	2	female	young
43	Marco	2	male	young
44	Arthur	3	male	old
44	Bertha	4	female	old
44	Cristobal	2	male	young
44	Dolly	6	female	old
44	Fay	1	female	old
44	Omar	5.5	male	young
44	Kyle	1.5	male	young
44	Laura	4	female	old
44	Hanna	5	female	young
44	Marco	4	male	young
45	Arthur	2	male	old
45	Bertha	4	female	old
45	Cristobal	4	male	young
45	Dolly	4	female	old
45	Fay	5	female	old
45	Omar	4	male	young
45	Kyle	5	male	young
45	Laura	4	female	old
45	Hanna	5	female	young
45	Marco	3	male	young
46	Arthur	5	male	old
46	Bertha	4	female	old
46	Cristobal	3	male	young
46	Dolly	5	female	old
46	Fay	5	female	old
46	Omar	5	male	young
