VitC1000	Brand	Temp
2.38	GreatValue	refrig
2.37	GreatValue	refrig
2.41	GreatValue	refrig
2.32	GreatValue	room
2.45	GreatValue	room
2.41	GreatValue	room
2.34	Meijer	refrig
2.4	Meijer	refrig
2.42	Meijer	refrig
1.86	Meijer	room
1.99	Meijer	room
1.98	Meijer	room
2.01	MinuteMaid	refrig
1.96	MinuteMaid	refrig
2.01	MinuteMaid	refrig
2.01	MinuteMaid	room
1.89	MinuteMaid	room
2	MinuteMaid	room
