HouseholdSize,Adults_D,H2O_Cost,Under17,Child1_D,Barcode_ID,Has_Barcode
5,0,0,2,0,101607,Yes
5,0,0,5,0,101609,Yes
3,0,0,0,NA,101610,Yes
1,0,0,0,NA,101611,Yes
2,0,0,4,0,101612,Yes
3,0,0,1,13,101613,Yes
2,0,0,1,0,101516,Yes
3,0,0,1,0,101525,Yes
3,0,0,3,0,101528,Yes
3,0,0,0,NA,101533,Yes
4,0,0,2,0,101535,Yes
1,0,0,0,NA,101536,Yes
2,0,0,1,0,101538,Yes
1,0,0,0,NA,101547,Yes
2,0,0,1,0,101555,Yes
4,0,0,5,0,101571,Yes
3,0,0,2,0,101574,Yes
3,0,0,2,0,101578,Yes
2,0,0,2,0,101584,Yes
4,0,0,4,0,101587,Yes
4,0,0,0,NA,101588,Yes
4,0,0,1,2,101589,Yes
2,0,0,1,0,101593,Yes
1,0,0,0,NA,101604,Yes
1,0,0,0,NA,101614,Yes
4,0,0,1,0,101615,Yes
2,NA,50,2,NA,201666,No
2,0,15,1,0,201601,No
2,0,0,0,NA,125090,Yes
2,0,0,2,0,101187,Yes
3,0,0,1,0,101189,Yes
2,0,0,0,NA,101191,Yes
2,0,0,0,NA,101195,Yes
3,0,0,1,0,101218,Yes
3,0,0,3,0,101479,Yes
2,0,0,2,0,101481,Yes
2,0,0,2,0,101486,Yes
2,0,0,0,NA,101487,Yes
3,0,0,0,NA,101489,Yes
2,0,0,2,0,101490,Yes
2,0,0,2,0,101491,Yes
4,0,0,0,NA,101495,Yes
5,0,0,1,0,101497,Yes
5,0,0,3,0,101499,Yes
2,0,0,4,0,101500,Yes
6,0,0,0,NA,101503,Yes
2,0,0,0,NA,101504,Yes
5,0,0,5,0,101505,Yes
4,0,0,0,NA,101506,Yes
2,0,0,2,0,101508,Yes
5,0,0,1,0,101510,Yes
4,0,0,3,0,101512,Yes
5,0,0,1,0,101513,Yes
2,0,0,0,NA,101515,Yes
3,0,0,0,NA,10197,No
4,0,0,4,0,101183,Yes
